,"Coaching /
instructing","Refereeing /
officiating","Organising /
admin","Stewarding /
other support"
Higher,4.601955890655518,2.3664803504943848,9.354426383972168,8.401385307312012
Middle,4.594733715057373,1.6720627546310425,7.974179267883301,7.734013080596924
Lower,2.444087505340576,1.2033694982528687,3.9770586490631104,5.844083309173584
Student/Other,7.573945045471191,3.6418564319610596,8.437631607055664,8.425025939941406
