,"Coaching /
instructing","Refereeing /
officiating","Organising /
admin","Stewarding /
other support"
Male,6.013751983642578,3.1025519371032715,9.135687828063965,9.153640747070312
Female,3.150920867919922,1.2258059978485107,7.1573486328125,6.45376443862915
