,"Coaching /
instructing","Refereeing /
officiating","Organising /
admin","Stewarding /
other support"
Disabled (limiting),4.249055862426758,1.8450556993484497,8.210230827331543,8.322386741638184
"Condition, not limiting",4.898852348327637,2.211576461791992,9.11955451965332,8.212658882141113
No disability,4.657681941986084,2.292367935180664,8.181509971618652,7.691472053527832
