,"Coaching /
instructing","Refereeing /
officiating","Organising /
admin","Stewarding /
other support"
16-24,8.378911018371582,4.377889633178711,9.436312675476074,10.114572525024414
25-44,4.313867568969727,1.828416347503662,7.290637016296387,6.915131092071533
45-64,4.073278427124023,2.054567337036133,9.029912948608398,8.665430068969727
65+,2.463306188583374,1.3822946548461914,8.19417953491211,6.841709613800049
