year,vol_%,coverage_%
2016,22.928284,64.76517040731504
2017,21.835613,62.5540176614267
2018,15.977533,62.92403549625527
2019,18.38878,97.16611770554968
2020,12.341042,75.49912652857499
2021,16.740171,76.03940764607474
2022,18.295372,77.67484105358766
