borough,actual,forecast,naive,centre,samp_sd,origin_wave,target_wave,covid,lo_samp,hi_samp,cov_samp,lo_cal,hi_cal,cov_cal
E09000002,47.47515106201172,53.08322577752751,53.636887,52.89975557850661,1.7452700617739865,3,4,0,50.0287863268884,55.77072483012481,False,46.555957210446344,59.24355394656687,True
E09000003,57.06564712524414,60.49458396859032,64.49054,59.90075475864238,1.8896186267676045,3,4,0,56.79233211760967,63.00917739967509,True,53.44601970550878,66.35548981177598,True
E09000004,59.21923065185547,64.6796984094102,69.48865,64.43167690568512,1.3783794121854034,3,4,0,62.16424277264014,66.69911103873011,False,58.33720639229642,70.52614741907382,True
E09000005,56.3033447265625,56.545660078117464,59.756905,56.23008883029287,2.26297983538977,3,4,0,52.5074870010767,59.952690659509045,True,49.45815574809615,63.002021912489596,True
E09000006,66.0758285522461,65.82363879524799,63.89605,65.99351483199524,2.072974519302173,3,4,0,62.58347174774317,69.40355791624732,True,59.388236100002,72.59879356398848,True
E09000007,67.45159149169922,71.61030255617227,70.65628,71.24270846244158,1.7379037660876795,3,4,0,68.38385676722736,74.10156015765581,False,64.90438484289547,77.5810320819877,True
E09000008,58.75108337402344,64.41167480184399,62.971138,64.56539286301076,1.7461563447252804,3,4,0,61.69296567593767,67.43782005008384,False,58.22093455391112,70.9098511721104,True
E09000009,58.3292121887207,59.882317575113554,64.86085,59.9868306555007,2.5145029229868556,3,4,0,55.85047334718732,64.12318796381408,True,52.978923330706486,66.9947379802949,True
E09000010,65.47926330566406,57.07633210257567,59.697277,56.79742957192077,2.0061590125278363,3,4,0,53.49729799631248,60.09756114752906,False,50.2482172752248,63.34664186861674,False
E09000011,60.768497467041016,64.16609776162063,64.71715,64.47859391430816,1.9112863942595557,3,4,0,61.33452779575119,67.62266003286513,False,58.00661855521379,70.95056927340254,True
E09000012,66.7467269897461,69.33377487939019,69.84072,69.43992851276654,2.1582861080058238,3,4,0,65.88954786509696,72.99030916043613,True,62.761117538183306,76.11873948734979,True
E09000013,72.57707214355469,68.39729895378672,67.11597,68.21201479734941,1.4203672399052103,3,4,0,65.87551068770534,70.54851890699348,False,62.091511162414584,74.33251843228425,True
E09000014,67.7137451171875,65.57304080620925,65.22834,65.52685933320234,1.7767473168107477,3,4,0,62.60410999704866,68.44960866935602,True,59.15945978763795,71.89425887876673,True
E09000015,61.25044250488281,56.26222051023605,57.721817,56.354623416872144,1.8566686576027487,3,4,0,53.30040347511562,59.408843358628665,False,49.92581538244694,62.783431451297346,True
E09000016,59.9879035949707,59.01273179930369,60.961403,58.94836242361278,2.2673637907085413,3,4,0,55.21854898789723,62.67817585932833,True,52.172462368556545,65.72426247866902,True
E09000017,56.5147705078125,58.390420889969946,55.73551,58.77151974060322,1.768232258860371,3,4,0,55.86277767477791,61.680261806428526,True,52.410537607601384,65.13250187360505,True
E09000018,62.831825256347656,57.912638597181456,59.981285,58.508459081244986,1.9760256261844558,3,4,0,55.257896926171554,61.75902123631842,False,51.98408419817286,65.03283396431712,True
E09000019,74.78775787353516,72.65819284473706,75.603645,72.190257669105,1.6239617788026885,3,4,0,69.51884054297457,74.86167479523542,True,65.93423794785653,78.44627739035346,True
E09000020,68.65461730957031,66.73220834122631,72.13545,66.57104335991144,2.0444736082561628,3,4,0,63.207884274330056,69.93420244549283,True,59.9898464835222,73.15224023630068,True
E09000021,69.56523895263672,65.75196156680884,67.873024,64.94774964025292,1.7943763572418148,3,4,0,61.99600053259014,67.89949874791571,False,58.56698666977244,71.3285126107334,True
E09000022,72.0252685546875,68.87004830411381,70.84124,68.32557516228606,1.6587026359357715,3,4,0,65.59700932617172,71.0541409984004,False,62.04493946095158,74.60621086362053,True
E09000023,69.49073791503906,66.80189007165002,68.55087,66.15580747671274,1.8727048256821883,3,4,0,63.07520803846554,69.23640691495994,False,59.71442515691555,72.59718979650992,True
E09000024,66.37623596191406,67.78763908744203,68.8382,67.57962636144205,1.7166869320671105,3,4,0,64.75567635819165,70.40357636469246,True,61.256968145808,73.9022845770761,True
E09000025,55.05093765258789,57.736686357938595,51.11548,57.06279248018691,1.779950554396855,3,4,0,54.13477381820408,59.99081114216973,True,50.692972500329816,63.432612460044,True
E09000026,58.24721908569336,57.46020237925889,57.550125,57.50959397394065,1.546271185593505,3,4,0,54.96597787363934,60.05321007424197,True,51.30707060384531,63.712117344035995,True
E09000027,73.42809295654297,70.79557734275538,73.072716,70.79239122164113,1.75903707830018,3,4,0,67.89877522783733,73.68600721544492,True,64.4383116808686,77.14647076241366,True
