Model,Test Accuracy,Test Precision (macro),Test Recall (macro),Test F1 (macro),CV Accuracy,CV F1 (macro),Train Accuracy,Train F1 (macro),Runtime (min),Train-CV Accuracy Gap,AUC (macro OvR),AUC (Active vs rest),LogLoss
Ordinal logistic regression,0.6721842594345081,0.41483101137369044,0.40760665641142896,0.3923125631592715,0.6523739999558783,0.37352430109921925,0.6542033856082531,0.37567204857908826,0.16917829513549804,0.001829385652374782,0.6591853177316148,0.7042915392603146,0.797613409844432
LightGBM,0.6714889000436653,0.415869531266913,0.40319218536502155,0.38701147017098475,0.6523705908838352,0.37701189021921905,0.6603490885640028,0.3800733032314127,0.7350843906402588,0.007978497680167562,0.6632990547224973,0.7078142177394551,0.7934961818780241
