borough,wave,comp_only,forecast,baseline,composition_effect,behaviour_effect,total_change,year,lo,hi
E09000002,9,50.80071450847705,51.03097100149924,50.949465268591275,-0.1487507601142255,0.2302564930221891,0.08150573290796359,2023,,
E09000003,9,62.54326228983525,62.77351878285744,62.673456611398294,-0.1301943215630459,0.2302564930221891,0.1000621714591432,2023,,
E09000004,9,61.32742198090014,61.55767847392233,61.58315713499214,-0.255735154092001,0.2302564930221891,-0.025478661069811892,2023,,
E09000005,9,58.2559013636355,58.48615785665769,58.39021645226201,-0.13431508862650787,0.2302564930221891,0.09594140439568122,2023,,
E09000006,9,67.55866481890153,67.78892131192373,67.85710810164164,-0.29844328274010934,0.2302564930221962,-0.06818678971791314,2023,,
E09000007,9,69.35710028687737,69.58735677989957,69.43219603408748,-0.07509574721011347,0.2302564930221962,0.15516074581208272,2023,,
E09000008,9,61.751924345349494,61.98218083837168,61.78904079769229,-0.03711645234279359,0.2302564930221891,0.1931400406793955,2023,,
E09000009,9,62.50304629603809,62.73330278906028,62.52388255786183,-0.020836261823738766,0.2302564930221891,0.20942023119845032,2023,,
E09000010,9,59.941954115591976,60.172210608614165,60.140393310677474,-0.19843919508549845,0.2302564930221891,0.031817297936690636,2023,,
E09000011,9,63.52331610391582,63.75357259693801,63.61407429915083,-0.09075819523501139,0.2302564930221891,0.1394982977871777,2023,,
E09000012,9,68.87665552328508,69.10691201630728,68.98277177762354,-0.10611625433845973,0.2302564930221962,0.12414023868373647,2023,,
E09000013,9,74.31061760047156,74.54087409349376,74.368713985293,-0.05809638482143953,0.2302564930221962,0.17216010820075667,2023,,
E09000014,9,66.79787847010155,67.02813496312375,66.93240577505244,-0.13452730495089327,0.2302564930221962,0.09572918807130293,2023,,
E09000015,9,57.685651030100836,57.915907523123025,57.82921155479354,-0.14356052469270253,0.2302564930221891,0.08669596832948656,2023,,
E09000016,9,58.24831377100222,58.47857026402441,58.46170199492165,-0.21338822391942358,0.2302564930221891,0.01686826910276551,2023,,
E09000017,9,58.58783233956216,58.81808883258435,58.818318097959214,-0.23048575839705165,0.2302564930221891,-0.00022926537486256393,2023,,
E09000018,9,57.34463530108857,57.57489179411076,57.4642903585638,-0.11965505747522798,0.2302564930221891,0.11060143554696111,2023,,
E09000019,9,73.97364628961198,74.20390278263417,74.1169758285329,-0.14332953892092348,0.2302564930221962,0.08692695410127271,2023,,
E09000020,9,67.15032295764108,67.38057945066328,67.28115427960147,-0.13083132196038605,0.2302564930221962,0.09942517106181015,2023,,
E09000021,9,67.02119848621741,67.25145497923961,67.19705679285937,-0.17585830664195612,0.2302564930221962,0.05439818638024008,2023,,
E09000022,9,70.85990119703823,71.09015769006042,70.99547295125436,-0.1355717542161301,0.2302564930221962,0.0946847388060661,2023,,
E09000023,9,68.35635444353302,68.58661093655522,68.5802123459178,-0.2238579023847791,0.2302564930221962,0.006398590637417101,2023,,
E09000024,9,66.94899000076644,67.17924649378864,67.05887586609288,-0.10988586532643296,0.2302564930221962,0.12037062769576323,2023,,
E09000025,9,57.77047569062398,58.00073218364617,57.77586183297757,-0.005386142353586365,0.2302564930221891,0.22487035066860273,2023,,
E09000026,9,57.58523230774896,57.81548880077115,57.679269142212895,-0.09403683446393529,0.2302564930221891,0.1362196585582538,2023,,
E09000027,9,72.75563062768991,72.9858871207121,72.92331254495626,-0.16768191726634996,0.2302564930221962,0.06257457575584624,2023,,
E09000028,9,69.55859036333847,69.78884685636066,69.60760085322619,-0.04901048988772061,0.2302564930221962,0.1812460031344756,2023,,
E09000029,9,63.25328773442989,63.48354422745208,63.42448351337102,-0.17119577894113291,0.2302564930221891,0.059060714081056176,2023,,
E09000030,9,65.61528292912652,65.84553942214872,65.83583728001553,-0.2205543508890031,0.2302564930221962,0.009702142133193092,2023,,
E09000031,9,60.97603257328561,61.2062890663078,61.24366508639443,-0.26763251310882197,0.2302564930221891,-0.03737602008663288,2023,,
E09000032,9,75.05135243585414,75.28160892887634,75.2025587916439,-0.1512063557897534,0.2302564930221962,0.07905013723244281,2023,,
E09000033,9,66.75996418195562,66.99022067497782,66.8102395267113,-0.05027534475567563,0.2302564930221962,0.17998114826652056,2023,,
E09000002,10,50.712800152667874,51.17331313871226,50.949465268591275,-0.236665115923401,0.4605129860443853,0.22384787012098428,2024,,
E09000003,10,62.45733898879837,62.917851974842755,62.673456611398294,-0.21611762259992418,0.4605129860443853,0.2443953634444611,2024,,
