wave,observed,predicted,residual,covid
1,63.4701613128992,63.543883648090336,-0.0737223351911398,0
2,62.28079945917217,63.47756805797684,-1.196768598804665,0
3,64.61078559858574,63.553228909915994,1.0575566886697474,0
4,64.46290105436285,63.70390348632773,0.7589975680351135,0
5,62.26755291060029,63.46203530402864,-1.1944823934283533,1
6,62.39943247764621,63.82622929553444,-1.4267968178882318,1
7,64.27237066043453,63.392006980908846,0.8803636795256864,0
8,64.336926866009,63.03750258088441,1.299424285124584,0
