variable,in_waves,n_waves,first_wave,last_wave,label_y_latest,value_scheme_stable,schemes_seen
ACTYRA_CANOEING_H09,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Canoeing, kayaking, rafting or paddleboarding",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CANOE_R09,8,1,8,8,"Done 1-3 months ago: Canoeing, kayaking or rafting",YES,[w8] 0=No|1=Yes
ACTYRA_CARDIOCLASS_P04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cardio class,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CAVING_H02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Caving or pot holing,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CHEERLEADING_L15,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cheerleading,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CIRCUITS_P20,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Circuit training,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CLIMBBOULD_H16,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Climbing or bouldering,NO,"[w1,2]  || [w3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CLIMBWALL_R02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Climbing or bouldering wall,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_COMBATTARGET_C09,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Combat sports, martial arts or target sports",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CORECLASS_P05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Core strength class,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CRICKETLONG_Q06,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Long form cricket match (e.g. 40-50 overs),YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CRICKETNETPRAC_Q09,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cricket nets or practice,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CRICKETOTH_Q12,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Other cricket,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CRICKETSHORT_Q07,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Short form cricket match (e.g. 20:20),YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CRICKET_F02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cricket,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CROQUET_I05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Croquet,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCALL_C02,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Cycling,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCBMX_N03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: BMX,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCCROSS_N06,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cyclo-cross,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCLECLASS_P06,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cycle class,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCLEISSPORT_B03,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Cycling for leisure and sport,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCLEISURE_N01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cycling for leisure,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCMOUNTAIN_N02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Mountain biking,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCROAD_N04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Road cycling or racing,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCTRACK_N05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Track cycling,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYCTRAV_B04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cycling for travel,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CYC_OLD_M02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Cycling_old,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_DANCEALL_C04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Dance,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_DANCEART_B05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Creative or artistic dance,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_DANCECLASS_P07,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Dance-based class,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_DANCEOTHER_O01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Other types of dancing,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_DARTS_I08,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Darts,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_DIVING_U05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Diving,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_DODGEBALL_F12,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Dodgeball,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_DRIVINGRANGE_U10,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Driving range,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_EQUESTDRESSAGE_U15,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Dressage,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
