variable,in_waves,n_waves,first_wave,last_wave,label_y_latest,value_scheme_stable,schemes_seen
DURATIONGR_EQUESTOTHER_U17,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Other horse riding,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_EQUESTSCHOOLING_U13,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Schooling,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_EQUESTSHOWJUMP_U14,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Show jumping,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_EQUEST_L09,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Equestrian,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_EXBIKE_P12,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Exercise bike,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_EXMACHINESOTHER_P16,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Other exercise machine,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_EXMACHINES_E03,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Exercise machines,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FELLRUNNING_L04,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Fell running,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FENCING_J03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Fencing,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FITCLASS_E02,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Fitness class,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FITNESS_B06,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Fitness activities,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FOOTBALL11_Q01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): 11 a-side football,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FOOTBALLOTHER_Q05,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Other football,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FOOTBALLSMALL_Q02,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Small sided football,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FOOTBALLWALK_Q04,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Walking football,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FOOTBALL_F01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Football,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FREEWEIGHTS_P18,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Free weights,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FRISBEE_I03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Frisbee or ultimate frisbee,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_FUTSAL_Q03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Futsal,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GARDENTRAMP_L14,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Garden trampolining,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GARD_B08,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Gardening,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GENERICFITNESS_E06,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Generic fitness training,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GLIDING_H08,1;2;3;4;5;6;7;8,8,1,8,"Duration: Minutes per week (grouped): Gliding, paragliding or handgliding",YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GOALBALL_F15,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Goalball,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GOLFADV_U11,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Adventure or crazy golf,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GOLFFULL_U08,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Full course golf,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GOLFSHORT_U09,1;2;3;4;5;6;7;8,8,1,8,"Duration: Minutes per week (grouped): Short course golf, par 3, pitch and putt, putting",YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GOLF_L08,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Golf,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GYMNASTICSONLY_U24,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Gymnastics,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GYMNASTICS_L13,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Gymnastics,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GYMTRAMPCHEER_C13,1;2;3;4;5;6;7;8,8,1,8,"Duration: Minutes per week (grouped): Gymnastics, trampolining or cheerleading",YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_GYM_E01,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Gym session,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_HANDBALL_F16,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Handball,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_HIGHROPES_H14,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): High ropes,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_HIIT_P24,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): High intensity,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_HILLWALK_H15,3;4;5;6;7;8,6,3,8,"Duration: Minutes per week (grouped): Hill and mountain walking, hiking, mountaineering",YES,"[w3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_HILLWALK_R03,1;2,2,1,2,"Duration: Minutes per week (grouped): Hill and mountain walking, hiking, mountaineering (ONLINE ONLY)",YES,"[w1,2] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_HILLWALK_R06,3;4;5;6;7;8,6,3,8,Duration: Minutes per week (grouped): Hill or mountain walking or hiking,YES,"[w3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_HOCKEY_F09,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Hockey,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_HULAHOOP_P27,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Hula hooping,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ICEHOCKEY_K03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Ice hockey,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ICESKATING_I02,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Ice skating,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_INFORMAL_C15,6;7;8,3,6,8,Duration: Minutes per week (grouped): Informal Activity and Active Play,YES,"[w6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_INTSESSION_E05,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Interval sessions,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_JUDO_J04,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Judo,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_JUJITSU_S03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Ju-Jitsu,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_KARATE_S02,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Karate,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_KARTING_U26,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Karting or go-karting,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_KITESURF_R08,8,1,8,8,Duration: Minutes per week (grouped): Kite surfing,YES,[w8] 1=0-29|2=30-59|3=60-149|4=150+
DURATIONGR_LACROSSE_F14,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Lacrosse,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_LEISURE_C08,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Leisure activities and games,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_LIFESAVING_H13,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Life-saving,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MARTIALCHINESE_S05,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Chinese martial arts,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MARTIALOTHER_S06,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Other martial arts,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MARTIAL_J07,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Martial Arts,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MODPENT_L06,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Modern Pentathlon,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MOTORCARRACE_U28,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Motorcar racing,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MOTORCYCRACE_U27,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Motorcycle racing,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MOTORSPORTS_L18,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Motor sports,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MOUNTAIN_H01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Climbing or Mountaineering,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_MOUNTSCRAM_R05,3;4;5;6;7;8,6,3,8,Duration: Minutes per week (grouped): Mountaineering and scrambling,YES,"[w3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_NETBALL_F06,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Netball,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_OBSTACLE_L07,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Obstacle course (e.g. Tough Mudder),YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ORIENTEERING_H04,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Orienteering,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_OTHERFITCLASS_P10,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Other fitness or exercise class,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_PADDLE_R10,8,1,8,8,Duration: Minutes per week (grouped): Paddleboarding,YES,[w8] 1=0-29|2=30-59|3=60-149|4=150+
DURATIONGR_PARKOUR_H05,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Parkour or free running,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_PICKLEBALL_G05,8,1,8,8,Duration: Minutes per week (grouped): Pickleball,YES,[w8] 1=0-29|2=30-59|3=60-149|4=150+
DURATIONGR_PILATES_P01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Pilates,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_POOL_I07,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Pool,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RACKETSPORT_C06,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Racket sports,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RESISTMACHINE_P17,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Resistance weights machines,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RIFLE_S09,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Rifle,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ROCKCLIMB_R01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Rock climbing or bouldering,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ROLLERSKATING_L16,1;2;3;4;5;6;7;8,8,1,8,"Duration: Minutes per week (grouped): Rollerskating, inline skating, rollerblading",YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ROLLER_C14,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Roller or skating sports,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ROUNDERS_F11,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Rounders,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ROWINGWATER_R04,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Rowing (on water),YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ROWING_H06,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Rowing,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_ROWMACHINE_P13,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Rowing machine,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYLEAG13_Q17,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): 13 a-side rugby league,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYLEAGTAG_Q19,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Tag or other rugby league,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYLEAGTOUCH_Q18,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Touch rugby league,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYLEAGUE_F04,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Rugby League,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYUN15_Q13,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): 15 a-side rugby union,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYUN7_Q15,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Rugby sevens,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYUNION_F03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Rugby Union,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYUNTAG_Q16,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Tag or other rugby union,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUGBYUNTOUCH_Q14,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Touch rugby union,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUNATHMULTI_C11,1;2;3;4;5;6;7;8,8,1,8,"Duration: Minutes per week (grouped): Running, athletics or multi-sports",YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUNJOG_U07,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Running or jogging,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_RUNNING_L03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Running,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SAILING_H07,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Sailing,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SCUBA_H12,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Scuba diving or snorkelling,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SHOOTING_J08,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Shooting,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SHOTGUN_S10,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Shotgun,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SKATEBOARDING_L17,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Skateboarding,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SKIING_T01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Skiing,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SKIPPING_P26,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Skipping,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SKITTLES_I09,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Skittles,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SLEDDING_K02,1;2;3;4;5;6;7;8,8,1,8,"Duration: Minutes per week (grouped): Sledding, luge, tobogganing",YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SNOOKER_I06,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Snooker,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SNOWBOARDING_T02,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Snowboarding,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SNOWSPORT_K01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Snowsport,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SPORTCOUNT_A01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Sport (count definition),YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SPORTFUND_A02,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Sport (fund definition),YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SPORTPRE2016_A03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Sport (pre-2016 definition),YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SPORTTRAD_B07,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Traditional Sport,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SQUASH_G04,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Squash,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_STEPMACHINE_P14,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Step machine,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SURFING_H11,1;2;3;4;5;6;7;8,8,1,8,"Duration: Minutes per week (grouped): Surfing, board surfing, body boarding or kite surfing",YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SURFING_R07,8,1,8,8,"Duration: Minutes per week (grouped): Surfing, body surfing or body boarding",YES,[w8] 1=0-29|2=30-59|3=60-149|4=150+
DURATIONGR_SWIMIN_U02,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Swimming - Indoors,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SWIMJUST_U01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Swimming,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SWIMOPEN_U04,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Swimming - Open water,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SWIMOUTPOOL_U03,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Swimming - Outdoor pool,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_SWIM_L01,1;2;3;4;5;6;7;8,8,1,8,"Duration: Minutes per week (grouped): Swimming, diving or water polo",YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TABLETENNIS_G03,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Table Tennis,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TAEKWONDO_J05,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Taekwondo,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TAICHI_J06,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Tai Chi,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TEAMSPORT_C05,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Team sports,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TENNIS_G01,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Tennis,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TENPIN_I04,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Ten-pin bowling,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TRACKANDFIELD_L02,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Track and field athletics,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TRAMPOLINING_U25,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Trampolining,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TREADMILL_P15,2;3;4;5;6;7;8,7,2,8,Duration: Minutes per week (grouped): Treadmill,YES,"[w2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
DURATIONGR_TRIATHLON_L05,1;2;3;4;5;6;7;8,8,1,8,Duration: Minutes per week (grouped): Triathlon,YES,"[w1,2,3,4,5,6,7,8] 1=0-29|2=30-59|3=60-149|4=150+"
