group,Walking,Cycling,Fitness,Team sports,Racket sports,Dance,Active travel
16-24,76.57464,17.63773,32.88601,18.633183,9.018311,13.103738,68.66886
25-44,79.75295,21.964273,35.74909,7.892246,5.9175735,10.552095,66.16934
45-64,77.28784,19.905426,31.04178,3.2006688,5.394414,8.586646,56.86108
65+,70.623116,9.511369,26.014936,0.61828804,3.6837626,6.283177,42.276443
