group,Walking,Cycling,Fitness,Team sports,Racket sports,Dance,Active travel
White British,83.28816,22.536243,35.56129,6.2331276,6.275139,9.096172,64.58825
White Other,81.140015,24.48389,36.92039,5.927735,5.732532,10.43259,63.623947
Asian,69.89532,11.451836,26.162231,7.6672754,6.6282215,6.81334,53.615
Black,65.88562,12.082305,29.471165,9.638809,2.759397,16.247692,53.490696
Mixed/Other,74.62995,18.127066,34.819626,8.833776,5.606579,13.292002,60.76874
