group,Walking,Cycling,Fitness,Team sports,Racket sports,Dance,Active travel
Male,76.947685,23.742413,30.393196,11.101503,7.7603498,5.498382,61.72059
Female,77.41996,14.105591,34.71555,2.8600993,3.9971554,13.782067,58.782978
