group,Walking,Cycling,Fitness,Team sports,Racket sports,Dance,Active travel
Higher,84.95798,24.841166,40.121456,6.8082438,7.1752725,10.228599,68.25701
Middle,75.851746,16.48777,30.107424,4.997764,4.5115743,9.415107,56.168854
Lower,66.3312,10.731178,19.595678,5.301306,2.849203,7.8749776,50.878918
Student/Other,73.79702,17.892076,30.844458,14.33505,8.111513,12.61085,63.166183
