b,n,obs,pred
E09000002,501.0,11.533010331591194,10.31391173303821
E09000003,489.0,5.650689470044787,9.319421263184623
E09000004,493.0,8.035510593744878,9.592388582716003
E09000005,507.0,8.42448464875998,9.049190198487407
E09000006,498.0,9.78927031543659,9.220618967014563
E09000007,509.0,11.675756448532963,10.027971619289017
E09000008,522.0,7.401948803304023,9.645445295576616
E09000009,525.0,6.955499676944476,8.772377233067902
E09000010,500.0,10.12059638206597,9.747333047870294
E09000011,991.0,8.398503736285763,9.930874210556427
E09000012,496.0,9.186464651921034,10.38478489362749
E09000013,495.0,10.26175344843375,9.894256736202495
E09000014,532.0,11.566312347499151,10.83732951643987
E09000015,479.0,5.452461177032248,7.708499205848007
E09000016,480.0,10.759496000176748,8.894679746895713
E09000017,490.0,8.21026429927147,9.023704491046223
E09000018,488.0,6.743173119763668,8.2872352960579
E09000019,507.0,10.370828865271346,11.03175577229888
E09000020,490.0,9.311569645154542,8.981660990264803
E09000021,501.0,7.148470036477751,9.127647332322695
E09000022,518.0,12.29929881699287,11.369723454409597
E09000023,507.0,8.773070687591826,10.90342310704875
E09000024,507.0,6.184269282296265,9.323841190858275
E09000025,482.0,7.0849382635787075,9.047717895511587
E09000026,492.0,8.912588687241318,8.164575154066734
E09000027,522.0,8.36977448817913,9.190300484665466
E09000028,514.0,11.256811677284897,11.19308264871282
E09000029,461.0,6.188770133136338,9.317629664261528
E09000030,504.0,12.077383685324705,9.35256003236442
E09000031,525.0,8.735051018336504,9.553395029286534
E09000032,505.0,8.873062251741779,11.091023819474415
E09000033,485.0,11.711372894148985,10.13697017247643
