borough,n,obs,pred,err
E09000002,501.0,48.814505490808386,49.923083498735735,1.108578007927349
E09000003,489.0,71.00749082170486,59.40238128219054,-11.605109539514324
E09000004,493.0,61.188620982276724,59.96561614916048,-1.2230048331162422
E09000005,507.0,59.60253208553552,56.61352171723216,-2.9890103683033615
E09000006,498.0,63.87134458234054,66.6400388573707,2.768694275030157
E09000007,509.0,73.66176655865793,67.05168314291183,-6.610083415746104
E09000008,522.0,62.72644749253258,60.29374510287392,-2.432702389658658
E09000009,525.0,66.5181269547042,59.72224377705887,-6.7958831776453295
E09000010,500.0,57.05275439576779,58.80475969221587,1.7520052964480755
E09000011,991.0,59.33646407334676,63.18863696011104,3.8521728867642793
E09000012,496.0,66.31151857210153,67.59329951357749,1.281780941475958
E09000013,495.0,72.48780498553465,72.73156621320133,0.24376122766668118
E09000014,532.0,66.50466278650366,65.25737910923519,-1.2472836772684701
E09000015,479.0,57.803979657897685,55.915573002430634,-1.888406655467051
E09000016,480.0,60.13541434320295,56.72601550470116,-3.4093988385017937
E09000017,490.0,56.460796856321096,57.05182824264586,0.5910313863247652
E09000018,488.0,55.70671722303746,55.702040862568595,-0.00467636046886355
E09000019,507.0,73.81552130386034,72.59082564353022,-1.224695660330113
E09000020,490.0,67.4053520007504,66.33117962827093,-1.0741723724794667
E09000021,501.0,66.8441551054316,64.97445592167101,-1.8696991837605879
E09000022,518.0,69.60009368407587,69.8269055902344,0.22681190615853097
E09000023,507.0,68.00715874530088,66.68565225695096,-1.3215064883499252
E09000024,507.0,64.42334769086884,66.05249923780111,1.6291515469322775
E09000025,482.0,55.55579839507908,55.6471407597896,0.09134236471052049
E09000026,492.0,57.52114309843239,55.59038000073715,-1.930763097695241
E09000027,522.0,73.81406265106175,70.73848697897685,-3.075575672084895
E09000028,514.0,70.65645541608795,68.46287914028584,-2.1935762758021156
E09000029,461.0,69.29327699068762,61.25088624905372,-8.042390741633895
E09000030,504.0,64.67198209783126,64.02166078497157,-0.6503213128596883
E09000031,525.0,56.572391507619464,60.13895312110796,3.5665616134884957
E09000032,505.0,78.3197755159368,73.4886004135181,-4.8311751024186975
E09000033,485.0,67.74213630833304,64.9476732932466,-2.79446301508645
