borough,mean_abs_forecast_error,residual,place_strength
E09000030,0.933408856708013,0.7551911732271535,0.7551911732271535
E09000014,1.0459163189237397,1.7065506831495156,1.7065506831495156
E09000005,1.5961746295131196,0.6568155656010859,0.6568155656010859
E09000033,1.6796955915015037,3.842813796838776,3.842813796838776
E09000016,1.6852483989073856,-0.875794427139688,0.875794427139688
E09000024,1.7248190955089058,-0.5115747902165282,0.5115747902165282
E09000026,1.75546020650926,-1.1942705178948358,1.1942705178948358
E09000012,1.781846266381649,2.004850260872672,2.004850260872672
E09000013,1.8167298445139295,4.633362352454213,4.633362352454213
E09000006,2.195543514977004,-0.8658935429413219,0.8658935429413219
E09000015,2.204562807833824,-0.304783341128136,0.304783341128136
E09000025,2.2230562057804995,-3.043683090445981,3.043683090445981
E09000023,2.2343692762197755,3.115183062170914,3.115183062170914
E09000022,2.3051890893405442,2.8356758600038887,2.8356758600038887
E09000021,2.398498448117825,2.3696445522301843,2.3696445522301843
E09000017,2.4340454638117706,-3.550321539828694,3.550321539828694
E09000027,2.54320438443294,5.870461488831367,5.870461488831367
E09000004,2.6624688968487953,-1.7716082102145805,1.7716082102145805
E09000008,2.731802030398029,1.2723567464734271,1.2723567464734271
E09000019,2.762930251683727,6.216856942236944,6.216856942236944
E09000028,2.801026890273088,4.674856164395962,4.674856164395962
E09000031,2.9474457288431566,-4.878632400568414,4.878632400568414
E09000002,3.0291553990003095,-7.036718233007086,7.036718233007086
E09000020,3.1673269140047466,4.661698328461284,4.661698328461284
E09000018,3.2916863415445996,-2.588079550590692,2.588079550590692
E09000007,3.5123841708095207,9.33055038121367,9.33055038121367
E09000011,3.571450730430582,-3.863341704536929,3.863341704536929
E09000009,3.841347987519024,4.90736657535367,4.90736657535367
E09000010,4.006909475631289,-3.733708612326062,3.733708612326062
E09000032,4.610706704763904,8.477682658866698,8.477682658866698
E09000003,5.335700439289501,7.788643335358458,7.788643335358458
E09000029,6.950284083667687,5.633804338658479,5.633804338658479
