Feature,Category,Cluster,Percentage
Disab3,No disability,Cluster 0,65.0
Disab3,Non-limiting disability,Cluster 0,13.3
Disab3,Limiting disability,Cluster 1,14.0
Disab3,Missing,Cluster 1,5.6
Disab3,No disability,Cluster 1,64.2
Disab3,Non-limiting disability,Cluster 1,16.2
Disab3,Limiting disability,Cluster 2,11.1
Disab3,Missing,Cluster 2,6.2
Disab3,No disability,Cluster 2,68.4
Disab3,Non-limiting disability,Cluster 2,14.3
Disab3,Limiting disability,Cluster 3,18.2
Disab3,Missing,Cluster 3,7.2
Disab3,No disability,Cluster 3,60.0
Disab3,Non-limiting disability,Cluster 3,14.5
